SURFACE_TY,CONDITION,WIDTH,the_geom,CANOPY,PMAID,TRAIL_NUM,TRAIL_ID,PMA_NAME,SHAPE_LENG,GRADE_TYPE,DISTRICT,GRADE_PERC,TRAIL_CLAS,SHAPE_LE_1,DATE_TIME,PICTURES,FIELD_NOTE,GIS_LENGTH,GIS_EDT_DT,AMWOID,SHAPE_LEN
Soil,Overgrown,1,"MULTILINESTRING ((-122.40261599550428 47.561188395980146, -122.40264612180567 47.561247454287525, -122.40269460833727 47.56126258323996, -122.40271512943666 47.56127651940841))",Closed,473,11,473-11,ME-KWA-MOOKS PARK,43.14959805,Gradual,SW,5,2,43.14959805,11/08/2016 12:00:00 AM +0000,-,"gone, consumed by brush",43.14968435,02/08/2017 12:00:00 AM +0000,TRAIL-5522,0
Gravel,Good,5,"MULTILINESTRING ((-122.27766121698002 47.56568507587378, -122.27761055896683 47.56572946857919, -122.27756622137278 47.565777372159395, -122.27753382072007 47.56582675415684, -122.27751374438662 47.565876628202034, -122.27749317457338 47.565930708725574, -122.27747083614024 47.56597685208441, -122.27745798354292 47.56603592268959, -122.27744903123278 47.5661118849442, -122.2774448144198 47.56615811657071, -122.2774379742316 47.5664074599292, -122.2774881686214 47.566500757276586, -122.27753627490766 47.56654803620345, -122.27760158701379 47.566586236420584))",Open,409,28,409-28,GENESEE PARK AND PLAYFIELD,353.63145955,Flat,SE,3,1,353.63145955,11/08/2016 12:00:00 AM +0000,-,-,353.63216681,02/08/2017 12:00:00 AM +0000,TRAIL-2701,0
Soil,Good,2,"MULTILINESTRING ((-122.40420272899381 47.56366256526341, -122.40412509006366 47.56380145340678, -122.40422607297982 47.56396283173385, -122.40421015970212 47.56416895421633))",High,473,15,473-15,ME-KWA-MOOKS PARK,193.3824356,Steep,SW,9,1,193.3824356,11/08/2016 12:00:00 AM +0000,-,exposed tree roots,193.38282237,02/08/2017 12:00:00 AM +0000,TRAIL-5503,0
Gravel,Worn,4,"MULTILINESTRING ((-122.40057193769636 47.57455527884721, -122.40022401008059 47.57442349288982, -122.39979910584977 47.57432022469442))",Closed,465,14,465-14,SCHMITZ PRESERVE PARK,207.16006762,Gradual,SW,5,1,207.16006762,11/07/2016 12:00:00 AM +0000,-,"has culvert ; storm water erosion, damage",209.86138603,02/22/2017 12:00:00 AM +0000,TRAIL-6706,0
Soil,Poor,1,"MULTILINESTRING ((-122.31691490054064 47.72346118464479, -122.31692585003375 47.72348483392262, -122.31686885000691 47.72352263450328, -122.31684001638695 47.723578433978076, -122.31683080044031 47.72360831714311, -122.31675140030448 47.72362463423872, -122.31668476691185 47.72364720116199, -122.31658042763867 47.723626514524504, -122.31656495565134 47.72362576758567))",Open,4479,7,4479-7,LICORICE FERN NA ON TC,130.76184018,Flat,NE,3,2,130.76184018,11/04/2016 12:00:00 AM +0000,-,-,130.7621017,02/08/2017 12:00:00 AM +0000,TRAIL-3001,0
Gravel,Worn,5,"MULTILINESTRING ((-122.40196441464637 47.57584564039559, -122.40179188381501 47.57590624221137, -122.40171726615418 47.57613097831965))",Low,465,17,465-17,SCHMITZ PRESERVE PARK,132.0006336,Moderate,SW,7,1,132.0006336,11/07/2016 12:00:00 AM +0000,-,has plywood fence to protect habitat,132.0008976,02/08/2017 12:00:00 AM +0000,TRAIL-6701,0
Gravel,Worn,2,"MULTILINESTRING ((-122.29164169963741 47.59897784679783, -122.29166524829776 47.59901698513998, -122.2916712847705 47.59906704509761, -122.29166399271183 47.599135696998104, -122.29163827974932 47.59920458323232, -122.291593971322 47.599267476302984, -122.29153106333884 47.59932437444094, -122.2914214014535 47.59935694120597, -122.29134928473829 47.5994139581648, -122.29128794961638 47.59945584869019, -122.29125058158557 47.59950870940915, -122.29126698422765 47.59958978244412))",High,392,32,392-33,FRINK PARK,264.56217369,Gradual,CE,4,1,264.56217369,11/07/2016 12:00:00 AM +0000,-,-,265.72997726,02/22/2017 12:00:00 AM +0000,TRAIL-2602,0
Soil,Worn,2,"MULTILINESTRING ((-122.4005442376157 47.57515239931432, -122.40055528314997 47.57505864568438, -122.40048984794613 47.57497710418987))",Open,465,33,465-33,SCHMITZ PRESERVE PARK,67.42709274,Moderate,SW,5,2,67.42709274,11/07/2016 12:00:00 AM +0000,-,leads down to stream,68.15266288,02/22/2017 12:00:00 AM +0000,TRAIL-6721,0
Soil,Worn,2,"MULTILINESTRING ((-122.40041924260515 47.57718034804057, -122.40040061362586 47.577039609382666, -122.400373942959 47.57699968546146, -122.40039321206747 47.57694034250567, -122.40045841899409 47.57691081694284))",Closed,465,25,465-25,SCHMITZ PRESERVE PARK,109.05193216,Steep,SW,9,2,109.05193216,11/07/2016 12:00:00 AM +0000,-,"fallen tree debris, exposed roots, narrows to 1ft",109.05215026,02/08/2017 12:00:00 AM +0000,TRAIL-6704,0
Gravel,Worn,3,"MULTILINESTRING ((-122.3154482113448 47.731670704608554, -122.31545486473848 47.73164318216209, -122.31546318084257 47.731547189378574, -122.31547881725238 47.731498409606225, -122.31546517680745 47.731395255262825, -122.3154605204277 47.731347146714796, -122.31544322111249 47.731156278581985, -122.31545148135487 47.73109849701318, -122.31546645243498 47.731061352310356, -122.31545077948054 47.73101030129652, -122.31547850973512 47.730997810737186, -122.31548162932897 47.73095982058918, -122.31545051956057 47.730935390520244, -122.3154555301668 47.73087172101863, -122.31544534058148 47.73085174108522, -122.31544302973691 47.73083385109118, -122.31544283034056 47.73079548126253, -122.31544487938191 47.730770760626875, -122.31546674036387 47.73072578083499, -122.31547832006957 47.730671621092974, -122.31547594961798 47.73064020099657, -122.31547772054208 47.73060756120041, -122.31546671989739 47.73059247123735, -122.31546347975807 47.73057491087861, -122.3154443902952 47.73052216083875, -122.31542954996665 47.73048747081562, -122.31541866025145 47.730434790537714, -122.31541849044008 47.73039895089761, -122.31543174029049 47.73036915130341, -122.31544490957572 47.730341901320074, -122.31544940976318 47.73032107108467, -122.31546116996641 47.730303640548065, -122.3154706206585 47.73028658097134, -122.31547827003106 47.73026929111569, -122.31548004024701 47.73024606113976, -122.31548301059595 47.73022713094676, -122.31546752030438 47.73016771128561, -122.31544841043869 47.730101070794625, -122.31544766030481 47.73007685072681, -122.31544534947162 47.73004775082153, -122.31545909956961 47.73000297088575, -122.31548000031412 47.72996869080711, -122.31548512065962 47.729893550877094, -122.31547430023384 47.72981275091741, -122.31544179046406 47.72975864056475, -122.3154169399853 47.72972313064822, -122.31539498034985 47.72966978098369, -122.31539181006781 47.729618840970815, -122.31539406017193 47.72958547076972, -122.31537672037521 47.72951618133529, -122.3153755829367 47.729490956948894, -122.31536418611739 47.72946795834874))",Open,327,18,327-18,JACKSON PARK,824.70170156,Moderate,NE,5,1,824.70170156,11/03/2016 12:00:00 AM +0000,-,-,824.70335097,02/08/2017 12:00:00 AM +0000,TRAIL-2004,0
